model_name,split,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,target_positive_rate,positive_rate_penalty,balanced_score,precision_compromise_score,predicted_positives,false_positives,false_negatives,true_positives,true_negatives,train_val_precision_gap,train_val_f1_gap,train_val_roc_auc_gap,reference_false_positives,false_positive_reduction,false_positive_reduction_rate
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.54,0.6537678207739308,0.584,0.38219895287958117,0.4620253164556962,0.6507504363001746,0.2545824847250509,0.3890020366598778,0.1344195519348269,0.5454556253848798,0.5662801069211567,125,52,118,73,248,0.0,0.0,0.0,244,192,0.7868852459016393
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.55,0.659877800407332,0.6132075471698113,0.3403141361256545,0.4377104377104377,0.6507504363001746,0.2158859470468432,0.3890020366598778,0.17311608961303462,0.5310257752525164,0.581862414190973,106,41,126,65,259,0.0,0.0,0.0,244,203,0.8319672131147541
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.56,0.670061099796334,0.6494845360824743,0.3298429319371728,0.4375,0.6507504363001746,0.1975560081466395,0.3890020366598778,0.1914460285132383,0.5316361625311453,0.6072142188877494,97,34,128,63,266,0.0,0.0,0.0,244,210,0.860655737704918
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.57,0.6761710794297352,0.6904761904761905,0.3036649214659686,0.4218181818181818,0.6507504363001746,0.1710794297352342,0.3890020366598778,0.2179226069246436,0.5230205601509383,0.6327720133269871,84,26,133,58,274,0.0,0.0,0.0,244,218,0.8934426229508197
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.58,0.6761710794297352,0.7162162162162162,0.2774869109947644,0.4,0.6507504363001746,0.15071283095723015,0.3890020366598778,0.23828920570264767,0.510729735589654,0.6464263949813688,74,21,138,53,279,0.0,0.0,0.0,244,223,0.9139344262295082
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.59,0.6782077393075356,0.746268656716418,0.2617801047120419,0.3875968992248062,0.6507504363001746,0.1364562118126273,0.3890020366598778,0.2525458248472505,0.5041051387328337,0.6649824831764712,67,17,141,50,283,0.0,0.0,0.0,244,227,0.930327868852459
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.6,0.670061099796334,0.7377049180327869,0.2356020942408377,0.35714285714285715,0.6507504363001746,0.12423625254582485,0.3890020366598778,0.26476578411405294,0.48675510320143034,0.6528970576815397,61,16,146,45,284,0.0,0.0,0.0,244,228,0.9344262295081968
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.61,0.659877800407332,0.7142857142857143,0.2094240837696335,0.32388663967611336,0.6507504363001746,0.11405295315682282,0.3890020366598778,0.274949083503055,0.4679151413158987,0.6298523715652401,56,16,151,40,284,0.0,0.0,0.0,244,228,0.9344262295081968
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.62,0.6578411405295316,0.7346938775510204,0.18848167539267016,0.3,0.6507504363001746,0.09979633401221996,0.3890020366598778,0.2892057026476579,0.45532208371987215,0.6393607579157318,49,13,155,36,287,0.0,0.0,0.0,244,231,0.9467213114754098
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.63,0.6578411405295316,0.7674418604651163,0.17277486910994763,0.28205128205128205,0.6507504363001746,0.08757637474541752,0.3890020366598778,0.3014256619144603,0.44624735588286846,0.6586946023658553,43,10,158,33,290,0.0,0.0,0.0,244,234,0.9590163934426229
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.64,0.6578411405295316,0.7948717948717948,0.16230366492146597,0.26956521739130435,0.6507504363001746,0.07942973523421588,0.3890020366598778,0.30957230142566194,0.44001544888190797,0.6753983435185347,39,8,160,31,292,0.0,0.0,0.0,244,236,0.9672131147540983
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.65,0.6415478615071283,0.7419354838709677,0.12041884816753927,0.2072072072072072,0.6507504363001746,0.06313645621181263,0.3890020366598778,0.3258655804480652,0.4066696880819997,0.6258713237811363,31,8,168,23,292,0.0,0.0,0.0,244,236,0.9672131147540983
